Text,Label
"Nevermind,",Crusch
"A story without greed. Healing a wounded dragon, and then wishing to adopt it.",Crusch
"My body won't be satisfied by any dragon except you now! Oh, Patrasche, you minx!",Subaru
She's not gonna get thrown off or anything right?,Subaru
Me?,Subaru
"That's me activating my skill, KUUKI YOMENAI. Please put up with it.",Subaru
"But, he's a guy.",Subaru
"If you're that proud about it, what's with the outfit. What about this is a guy?",Subaru
But that's something...,Subaru
...Huh?,Subaru
Fe-Felis?,Subaru
Don't say that while smiling! Also don't threaten partners in your ally!,Subaru
That's worse! Geez.,Subaru
"Ah, Subaru. Is Rem-san's bed properly set up?",Emilia
There's a shame. My heart was pounding anticipating how you'd feel about the tightrope.,Subaru
"Yes, right.",Crusch
"Thanks. —I don't remember becoming yours yet, though.",Emilia
"But even if I weren't, I'm a half-elf. A silver-haired one. ...aren't you afraid?",Emilia
"Emilia-tan, that's...",Subaru
—,Emilia
"Emilia-sama, would you yourself believe your manner of living embarrassing?",Crusch
I am glad to have become your acquaintance. No fear is in me in the least.,Crusch
—hk,Emilia
"Stay in health. I will be awaiting the next, surely not distant, time we may meet.",Crusch
"Absolutely, let us meet again.",Crusch
—Hrn.,Subaru
"Just butting yourself right in and what do you say? Or rather, you were here?",Subaru
What is it?,Otto
That's not what the request is about! Just what exactly do you think I am?!,Otto
A merchant who spices things up?,Subaru
He's treating me like something bawdy!,Otto
It's like... you two get along sooo well. I'm surprised.,Emilia
"Shut up, Otto.",Subaru
"Ah, wait, if you do that then it'd be like you're excluding me —",Otto
"Yup, shutting you out!",Subaru
Pfff.,Subaru
Heehehe.,Emilia
Wasn't like me to read the awkward mood and keep quiet.,Subaru
"You're already zipping over to sit beside me, Subaru.",Emilia
"I do believe that, but whether I accept it is another story.",Emilia
"That's fine. Believe, and from there I'll work to make you accept it.",Subaru
"This is more like me than looking down and being depressed. Right, Rem?",Subaru
...What did you just say?,Emilia
"And you immediately cover it up. ...You're worried about Rem-san, aren't you?",Emilia
"You love her, don't you?",Emilia
"Love her, love her a lot. I love her as much as I love you, Emilia-tan.",Subaru
"Saying this is a bit, but... Subaru, are you cheating?",Emilia
Even though you said you love me.,Emilia
I think I understand.,Emilia
Huh?,Subaru
"A disease. ...Well, I can't refute that.",Subaru
You won't get me so easily.,Emilia
Need to have you pull me 'till I'm torn apart.,Subaru
"In the end, we can't come up with a real plan without talking to Roz-chi.",Subaru
"That's quite an aggressive stance to take towards your employer the Margrave, Natsuki-san.",Otto
"He's playing it safe, or...",Subaru
Something happened at SANCTUARY?,Emilia
"Doesn't look like anything's changed, though. ...Doesn't feel like Ram's come back.",Subaru
"Ugh. Anyway, for now all we can do is pray Beako knows something.",Subaru
Did you just say 'ugh' while looking at me?,Otto
Ugh. You're being too self-conscious. No one cares about you as much as you think.,Subaru
That's a terrible thing to say!,Otto
"I'm back, Roswaal mansion. Now, how would my nostalgic old home be...",Subaru
It's not disturbed... it's all orderly!?,Subaru
The mansion's living room...,Subaru
"Ah, Subaru, you're awake?",Emilia
"Eerrm, what was it that just happened again, Emilia-tan?",Subaru
I was sleeping?,Subaru
"That's not really the right word... but, it's mostly not wrong?",Emilia
Freakface!,Subaru
"Huu, euhu...",Frederica
Wha?,Subaru
"Subaru, you idiot!",Emilia
How could you say that to a girl? Frederica's been so dedicated to your...,Emilia
"Interloper? ...Ah, wait. I think I kinda get what the story is.",Subaru
Exactly correct. ...You would appear to be rather the quick thinker.,Frederica
"If I couldn't get that much from the gist of the conversation, it'd be... No, firstly.",Subaru
—Huuhuu. You are quite an interesting one.,Frederica
Test?,Subaru
Fwauhh!?,Subaru
Fred. Er. I. Ca.,Emilia
No way!,Emilia
"Indeed, and of course I accept. So let us proceed in our acquaintance.",Frederica
"So three months ago means she's an acquaintance of yours, Emilia-tan?",Subaru
Harrumph. Seems she is.,Emilia
"Who says 'harrumph' anymore? Also sulking like that is so outdated it's cute, man.",Subaru
A note?,Subaru
"Ram called you back to the mansion, meaning?",Subaru
...You won't tease me like that anymore?,Emilia
All right. I won't be angry any more. Okay?,Emilia
"Yes. My deepest apologies, Emilia-sama. —She's so easy.",Frederica
"Umm, the reason Ram called Frederica back to the mansion... right.",Emilia
"You're wrong. You've got it wrong, Otto.",Subaru
"I have what wrong. If you think you can take back what you said, it's too late...",Otto
So my stock just fell twice!? That only makes things even worse!,Otto
I... don't know what you're talking about. More importantly...,Otto
—don't touch Rem.,Subaru
"This isn't a good trend... Shit, I'm pathetic. Why I am goddamn always like this...",Subaru
"My just desserts.... no, Rem's the one paying for it. What a fucking gigolo I am.",Subaru
—ah.,Subaru
Wh—Subaru!?,Emilia
"I'm so incredibly astounded at the limits of my own idiocy, seriously.",Subaru
"Emilia-tan, a request.",Subaru
"Wh-what is it? Hold on, Subaru, your face's so close, your eyes look scary...",Emilia
"Wondering if you could insult my stupid, unsalvagable self.",Subaru
Huh?,Emilia
"Please. With no forgiveness for me, insult me.",Subaru
I-I'm telling you I can't do that. I don't think anything's your fault at all...,Emilia
Do something about that!,Subaru
But even if you tell me to do something...,Emilia
"Please! If you can do it, I'll sacrifice my soul to you, Emilia-tan!",Subaru
"Subaru, you idiot.",Emilia
Ughuh,Subaru
"You stubborn, selfish, bratty, overenthusiastic, bad-tempered rascal.",Emilia
Ughuhhuhhgh,Subaru
Ughhu... huh?,Subaru
"Who says dunderhead anymore? ...I mean, Emilia-tan.",Subaru
What?,Emilia
That's seriously how you think of me?,Subaru
"Thanks, Emilia-tan.",Subaru
"All I did was complain about you. And you thank me for it... Subaru, are you a pervert?",Emilia
"Unfortunately, the wishing booth has been closed for today.",Emilia
Goddamn! A failure! Why am I always... too late... hk!,Subaru
I'm going to a stinky mouldy room to see a shut-in drill loli.,Subaru
"Hey, been a while.",Subaru
"—Think the mansion's gotten noisy, and you come back, I suppose.",Beatrice
"So irritating, in fact.",Beatrice
"That you've come back means it's safe to say that racket's settled down, I suppose.",Beatrice
"This one, yeah?",Subaru
"...One next to it, I suppose. If you're going to meddle, meddle properly, in fact.",Beatrice
"I won't thank you, I suppose.",Beatrice
Their worrying was nothing I....,Beatrice
"But they did leave the mansion in the end, I suppose. ...They left Betty.",Beatrice
"Don't make things up, in fact. I haven't shed a single tear in a long time, I suppose.",Beatrice
"Indicative words coming from the man who cried on the lap of the girl he loves, in fact.",Beatrice
Could you please forget about that!?,Subaru
"Anyway, putting aside the topic of crying or not crying... could I ask you something?",Subaru
"Could or could not, asking is at your liberty, I suppose.",Beatrice
"—You know, for noticing the racket that went on outside, you were pretty nonreactive.",Subaru
"Stop, in fact.",Beatrice
"Stop, I suppose.",Beatrice
"Tearjerking to both speak and hear, I traversed the path of a crying queen bee —hk!",Subaru
"Get to the real topic already, in fact. —You weakling.",Beatrice
...ahh.,Subaru
Do you...,Subaru
Do you remember Rem?,Subaru
"Please answer. You remember the Rem who was in this mansion, right?",Subaru
Hey...,Subaru
"—I don't want to answer, in fact.",Beatrice
I'm telling you that's not an answer!,Subaru
This isn't what I want to hear from you!,Subaru
You...hk!,Subaru
"Your question is inquiring about somebody eaten by GLUTTONY, in fact.",Beatrice
—! So you really do...,Subaru
Roz!?,Subaru
"If you don't know, then surely nobody knows, in fact.",Beatrice
—a gospel.,Beatrice
"Why, how do you...",Beatrice
"Took it... but, that's...",Beatrice
"The owner is... dead, you said, I suppose.",Beatrice
...Yeah. Dead. Chewed up in a carriage's wheel. ...I killed him.,Subaru
"You left Betty behind too, I suppose, Juice...",Beatrice
—? Who?,Subaru
"Witch, Factor?",Subaru
Was just clearing away some loose sparks! What is it you want to say?!,Subaru
What're you just agreeing to yourself ab—uuoah,Subaru
A beverage resting in peace! What do you—me...,Subaru
—Betty's...,Beatrice
Beako... Beatrice!,Subaru
"What's instigating their exit is your body, and your soul, in fact.",Beatrice
What're—,Subaru
I—,Subaru
"Betty isn't... just a tool for your convenience, I suppose.",Beatrice
—!?,Subaru
Cra—,Subaru
...Why do you look like you're gonna cry.,Subaru
That drill loli...,Subaru
"If you're that close on the verge of crying, don't lock yourself up all alone. Idiot.",Subaru
"If you're going to have cheery chipper talks with Emilia-tan while I'm away, just die.",Subaru
Did you see Beatrice?,Emilia
"No, didn't work out.",Subaru
...You saw her?,Emilia
"I've been thinking this for a while but, you and Beatrice... get along so well, Subaru.",Emilia
"Yes, yes.",Emilia
"Ah, is she.",Subaru
But you spilled it yourself!,Otto
You two get along sooo well. Even though you've barely known each other long at all.,Emilia
"Why am I being dumped. It's completely irrelevant to reality, but it's still upsetting!",Otto
Sorry.,Emilia
"Scrupulousness... Second floor, furthest room back?",Subaru
"...No. Just a feeling, doesn't really mean anything.",Subaru
"—I had heard the circumstances, yet I am still surprised.",Frederica
"Ah, no.",Frederica
Subaru-sama. I would believe it acceptable should the one tasked to carry her be me.,Frederica
My heart does feel pain when casually dissed!,Subaru
"An admirable line, although it feels to have been soured.",Frederica
It appears that you have spoken with Beatrice-sama.,Frederica
"Uhh... Have you been working for the mansion long, Frederica?",Subaru
It seems I've accidentally come to be hated.,Frederica
"There is no need for such concern. You would be quite the worrier, Subaru-sama.",Frederica
"Uncomfortable—would not be how I would describe you, but you are a peculiar one.",Frederica
Emilia-tan what?,Subaru
Uhhhh,Subaru
"I am afraid you would be mistaken, Subaru-sama.",Frederica
Would you still be yet to understand it?,Frederica
Her appearance doesn't change. ...She really isn't a human.,Subaru
"Great Spirit... is the same title Puck has, but man they look and whatever nothing alike.",Subaru
Really no way that's happening.,Subaru
Frederica.,Subaru
"That is fine, but my arms shall soon reach their limit.",Subaru
Oh dear.,Frederica
"Move aside promptly, please!",Subaru
—Took you a while.,Emilia
It all depends on how hard I work.,Subaru
What did you talk with Frederica about?,Emilia
"Wow, really? Subaru, you know so much about SHUT-IN. It's amazing.",Emilia
Which means you couldn't get anything out of Beatrice?,Emilia
"It happens sometimes? But this time it's got you worried, too.",Subaru
"Puck and Beako too, everyone's gone and shut their mouths... I'm defeated.",Subaru
"Seriously. ...Subaru, what do we do?",Emilia
You mean Roswaal.,Emilia
I figure now's a great time for a chat cutting all the underground circumstances loose.,Subaru
"Oh, 'love' as if... Subaru, you just say things to make others happy sooo often.",Emilia
"So, I have a proposal for Subaru, who's allying with me.",Emilia
"Yup yup, let's hear it, say whatever you want.",Subaru
SANCTUARY...,Subaru
"Wa-wa-wai, time out! You're not saying you're leaving me behind, are you?",Subaru
Huh?,Emilia
It wasn't as though I was going to leave you. Come with me.,Emilia
Don't leave me behind don'tdon'tdon't—what did you just say?,Subaru
"I said, come with me. I'd be so anxious I couldn't bear it, being all alone.",Emilia
E-Emilia-tan...,Subaru
"I rely on you, Subaru. I don't think you're weak or stupid at all. I need your strength.",Emilia
"Er, um, uh, what is it? Did, did I say something strange again...?",Emilia
Huwawhegh!?,Subaru
Preparations? So you're coming too?,Subaru
Patrasche?,Subaru
"You're just getting better and better, Patrasche. Seriously, how did I hit that flag?",Subaru
"More importantly, there are several matters on which I must speak with you.",Frederica
"—Yes, I'm prepared. Since it's a place with some history.",Emilia
Your impurity is so pure it conversely becomes refreshing.,Frederica
"Methodical or perhaps it's neuroticism, either way you're definitely a type A.",Subaru
"What is that, that 'taeype ahye.' It doesn't sound like it means much good.",Otto
"Actually, I just thought something.",Otto
"What, your hands've stopped. You had a good pace there keep going.",Subaru
Sure took you a while to notice.,Subaru
"Basically it's the strategy of 'if you have no allies nearby, why not just make one?'",Subaru
That there's nothing relaxing about this at all actually makes it amazing!,Otto
"Frank, aren't you. —I understand, but, terms?",Otto
"And this one is just going off patten, but.",Subaru
—Let's hear it.,Otto
So it's only your rivals in love who get exterminated!,Otto
It's truly mundane.,Otto
And that's your dream?,Subaru
"He's terrible no matter what angle you look at him, this man!",Otto
A-A set-up!?,Otto
"Great work, Petra. But won't Frederica get mad at you for using your time on this?",Subaru
You're a crafty one. So even a little girl is still a woman...,Subaru
"I never said anything about joining this team, okay? Please don't misunderstand?",Otto
"I wanna be on the lady's side, but I don't really wanna lose to her on anything important...",Petra
Right right... But you're seriously coming too?,Subaru
Isn't it a given!?,Otto
"Hey, all that trust's gonna make me blush.",Subaru
All we'd have left between us would be jeering and fistfights then!,Otto
"Thinking like that, my offensive worth really is low. I knew that but it's still depressing.",Subaru
"Pl-please, wait. Suba, Subaru-sama...",Petra
Did you forget what you just said three seconds ago!?,Otto
I want you to please take this before you leave. Please hold on to it.,Petra
"Embroidery, huh. Wow, it's really good.",Subaru
Haha,Emilia
"It's the Puck Subaru drew. It's amazing, you did it really well.",Emilia
I did do really well with my chibi Puck. I didn't think I'd get to see it again.,Subaru
I make sure to get my stamps after radio callisthenics every morning.,Petra
"That said, you did really good. Even a sewing master such as myself could lose to this.",Subaru
"Can you please... no, could you please take it?",Petra
"I will be waiting for your safe return. Ah, and the lady and the noisy man too.",Petra
I feel like an extra.,Emilia
Isn't that assessment of me kind of horrible!?,Otto
"Here you go, Emilia-tan. Right into my chest.",Subaru
Maybe it'd be nice to look at the scenery from the driver's platform every once in a while?,Emilia
"Aaah, cold! EMK (Emilia-tan Maji Koakuma)! —Dah, waaah!",Subaru
What is it?,Emilia
"Uhrhumm, nothing?",Subaru
"Well then, we'll be setting off. I'll be praying you don't bite your tongues, or anything.",Otto
That's what you're planning?,Emilia
"Me!? I'm not going along with this nefarious plot, and now I'm suddenly complicit!?",Otto
"Well, destination, SANCTUARY! Departure, engage!",Subaru
Who are you to speak like that!?,Otto
You two take care of the mansion. And... I'm counting on you for Rem.,Subaru
"Be careful, and come home safely.",Petra
So Puck really hasn't shown up the whole time.,Subaru
Either way,Subaru
I'll be waiting without expectations.,Emilia
"But, SANCTUARY. Wonder what it's like.",Subaru
"Be careful of Garfiel, huh.",Subaru
"Got it. Yeah, if you have that it mind it does fit with the conditions.",Subaru
"But you know,",Subaru
I cannot apologize enough for that time!,Subaru
Ithurtsithurtsmyearstheyhurt!,Subaru
Ithurtsithurtsmyheartithurts!,Subaru
Did you reflect?,Emilia
"Then alright, I'll forgive you.",Emilia
"What'reya saying, you're not gonna be exposed to any danger. Believe in me, shield #2.",Subaru
You're second? Where's the first?,Emilia
Sitting on the driver's seat flirting with my Patrasche.,Subaru
Were you thinking about Rem-san?,Emilia
...You can tell?,Subaru
I can tell.,Emilia
"Ah, no call it a half of a half of a half of that.",Emilia
...Three hours....!,Subaru
From there a half of a half of a half of...,Emilia
Hearing the exact number'll hurt me that's enough!,Subaru
"That sounds like a cowardly way of saying it, but perhaps I'm just hearing things.",Emilia
No 'hearing things' more like hearing me.,Subaru
"It feels like Beatrice and Puck both know things, but are hiding them.",Emilia
—Looks like we've entered the forest.,Emilia
It's impressive you knew without even looking outside.,Subaru
"—!? Hey, hold on!",Subaru
—,Emilia
"E-Emilia-tan? What happened, Emilia!?",Subaru
"Otto! There's trouble, Emilia suddenly collapsed! Do you have medicine, or...",Subaru
"Ah—Natsuki-san, I'm sorry.",Otto
"Uh, wha?",Subaru
Patrasche!!,Subaru
"All good, you. Great thatya moved right away, better yer not givin' up now. You pass.",Garfiel
He-he flung away Patrasche...?,Subaru
"Now, goin' from looks, guess you two're allth's left.",Garfiel
I...,Subaru
Y-you...,Subaru
Hmmm?,Garfiel
"Yer whisperin', now speak up.",Garfiel
"You're... Garfiel, right. The one Roswaal and Frederica know.",Subaru
—Frederica?,Garfiel
She's a half-elf. Don't you dare call her that to her face.,Subaru
"—Haa. 'S with that, yer face's gotten all pumped all the sudden.",Garfiel
You...,Subaru
Get fucked.,Subaru
Hmmm?,Garfiel
"Take back that bullshit moniker, and never use it again.",Subaru
—Heehaha.,Garfiel
—Huh?,Subaru
"Heehahaha! 'S some pretty bitin' words, those, oi.",Garfiel
"What're you... ow! Ah, what, ow, wait, that hurts!",Subaru
"Stop makin' a racket, 's 'nnoying. Yer don't gotta be panicked I ain't gonna eat ya.",Garfiel
"With how violent you were being before, who could just believe that...?",Subaru
That fucking pervert bastard...,Garfiel
"Got it, got it.",Garfiel
She'll come to if we get away from here?,Subaru
"You the driver? After I get the carriage back upright, yer drivin' us to the village.",Garfiel
Hey. This guy always so energetic?,Garfiel
...shutup.,Emilia
"Well I said it, didn't I? Ain't like there's anythin' weird 'bout it.",Garfiel
You really don't think my amazin' self's a fittin' match for strongest?,Garfiel
"Even if you tell me to keep that in mind, I don't know what it means...",Subaru
"Well, I missed the chance to ask you about this before, but you know Roswaal... yeah?",Subaru
SANCTUARY.,Garfiel
Think it's 'bout time Sleepin' Beauty got up. We're plenty far from the barrier.,Garfiel
"What's the barrier... ah, Emilia-tan?",Subaru
"Mornin', suhbaru...",Emilia
"Uhh, no? I don't feel anything strange, but...",Emilia
"A-are you okay, Subaru? I, went and collapsed when I said I'd protect you...",Emilia
See? Just like how I said.,Garfiel
"—Who are you!? Letting you know, I won't allow you to lay a single finger on Subaru!",Emilia
This is... Garfiel? The one Frederica mentioned?,Emilia
"Most gracious welcome, dear Emilia-sama and entourage.",Garfiel
Test site?,Subaru
Idiots—,Emilia
Place's thick with a depressing atmosphere...,Subaru
"What would 'Witch of Greed's Cemetery' mean, exactly?",Emilia
"Wha, really? But wouldn't they have been well-known people for the last 400 years?",Emilia
And this place would be one of them?,Emilia
"That's a terrifying thought, Natsuki-san, but there's no need to worry.",Otto
Witch-related.,Subaru
Weird to hear that kinda spite coming from you. It's almost like you were involved in it.,Subaru
All satisfied?,Garfiel
—? What's that mean?,Subaru
"Excuse me. We're just about to arrive, but is it alright for us to simply continue inside?",Otto
Nah.,Garfiel
"'S incredible logic, I don't get it at all!",Garfiel
—Ram!,Subaru
I'll pick up your bones!,Subaru
"Now,",Subaru
What is it?,Ram
Does he love you? That's sorta what it felt like from what he was saying.,Subaru
...And just when I began to wonder what you'd say.,Ram
"Nothing,",Emilia
—Subaru?,Emilia
"Let's go. No matter what happens, just leave it to meat shield #2.",Subaru
—Yeah.,Emilia
"Now,",Roswaal
"A witch's cemetery, is a muuuuuch more easily agreed term for it.",Roswaal
—I am deeeeeeefinitely satisfied. You truuuuuly were a find.,Roswaal
"The cathedral. Putting that off for now, the next point'd be...",Subaru
—Witch.,Subaru
Echidna...,Emilia
"Witch of, Greed... a witch destroyed by the Witch of Envy, a different witch.",Emilia
"Waitwaitwait, isn't what you're saying weird.",Subaru
—Echidna.,Emilia
Huh?,Subaru
...hk. D-Don't you say anything unnecessary. Surprise attacks are off-limits.,Emilia
Can't go back to going back?,Subaru
"So, there's an indirect connection.",Subaru
It feels like I'm seeing a child who's all grown up.,Roswaal
"—Barusu, would you care to display some sympathy for Roswaal-sama?",Ram
"Anyway,",Emilia
As healing magics are outside of my area of expertise...,Ram
The Great Spirit isn't here?,Roswaal
"Now that you mention it, Otto's not here... did he go home? Did you eat him?",Subaru
Tea.,Garfiel
"I'll go outside for a moment to gather the leaves, would you wait for me?",Ram
—Huh?,Emilia
This's what'm sayin' I don't like. That the people involved don't even...,Garfiel
...Subaru.,Emilia
"Fine! Yeah, I getit! 'S jus' lashin' out b'fore! Yer sayin' I lost my cool, 's my bad, okay, oi!",Garfiel
"No point'n praisin' me, 'm too dumb to understand it.",Garfiel
Here is the very essence of terrible tea.,Ram
Isn't that line more normally used when you're being self-deprecating?,Subaru
"As always, you're a man for whom brewing tea is worthless. Not someone suited to me.",Ram
'S just tastes like leaves. If yer gonna wet yer throat 's just th'same 's water. Yeh?,Garfiel
"My deepest apologies, Roswaal-sama. And while I was even present...",Ram
"Or really, you know this's because of your joking around?",Subaru
"Roswaal, I'll have to heal..",Emilia
"Noooooo, that will not be necessary, Emilia-sama.",Roswaal
"It's necessary...? But, what do you mean when you...",Emilia
"—Wow, sure 'bout that?",Garfiel
Never heard of such a mobile tomb before.,Subaru
"Just one more thing,",Subaru
There's something I want to ask you before we go to the tomb.,Subaru
Then I'll oblige. —Does the name 'Rem' sound familiar to you?,Subaru
...So?,Subaru
"Is that... right. No, it's okay. If you don't remember, that's inevitable. In, evitable.",Subaru
"Subaru, are you okay?",Emilia
Right. We'll do something. I'll be helping you.,Emilia
